EV_ID,Control_ID,Artifact_Name,Artifact_Type,Owner,Date_Received,Validity_Window,Review_Status,Reviewer_Notes
EV-001,TPRM-US-CLD-008,SSO + MFA Enforcement Evidence,Screenshot/Config Export,Vendor,2026-03-03,12 months,Accepted,"Meets High-tier auth baseline. See 06_Evidence/Artifacts/EV-001_SSO_MFA_Enforcement.md"
EV-002,TPRM-US-CLD-012,Incident Response Plan Summary,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"IR lifecycle covered. Contract must include time-bound notification (C-01). See EV-002 artifact."
EV-003,TPRM-US-CLD-003,Retention + Deletion Workflow Summary,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"Workflow exists; require deletion SLA + deletion confirmation at termination (C-01). See EV-003 artifact."
EV-004,TPRM-US-CLD-005,Subprocessor List + Change Process,Document/Portal Export (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"List provided; require time-bound change notification + flow-down terms (C-01). See EV-004 artifact."
EV-005,TPRM-US-CLD-015,SOC 2 Type II Summary/Bridge Letter,Assurance Summary,Vendor,2026-03-03,12 months,Accepted,"Assurance posture acceptable for High tier (full report may be NDA). See EV-005 artifact."
EV-009,TPRM-US-CLD-010,Logging & Retention Controls Summary,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted,"Access/admin logging available; retention supports investigations. See EV-009 artifact."
EV-010,TPRM-US-CLD-001,DPA / Privacy Annex Clause Set,Contract Draft,Customer,2026-03-03,Until signed,Pending,"Execute to meet US privacy expectations (purpose, retention/deletion SLA, subprocessors, breach SLA). Condition C-01. See EV-010 artifact."
EV-011,TPRM-US-CLD-008,API Governance Hardening,Config/Procedure,Customer+Vendor,2026-03-03,12 months,Pending,"Implement allowlisting/token rotation/SCIM or documented alternative. Condition C-02. See EV-011 artifact."
EV-020,TPRM-US-CLD-009,Privileged Access Model (JIT/JEA + Session Logging),Design/Procedure,Customer+Vendor,2026-03-03,12 months,Pending,"Critical-tier requirement. Implement JIT/JEA or defensible alternative + session logging. See 06_Evidence/Artifacts/EV-020_Privileged_Access_Model_JIT_JEA_Session_Logging.md"
EV-021,TPRM-US-CLD-009,VPN Restrictions (Allowlisting + Device Posture + MFA),Config/Procedure,Customer+Vendor,2026-03-03,12 months,Pending,"Critical-tier requirement. Restrict VPN entry points and enforce posture. See EV-021 artifact."
EV-022,TPRM-US-CLD-015,SOC 2 Type II (or equivalent assurance evidence),Assurance,Vendor,2026-03-03,12 months,Pending,"Required for Critical-tier full approval. See EV-022 artifact."
EV-023,TPRM-US-CLD-012,Incident Response + Notification SLA Summary,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"IR exists; contract must include time-bound notification SLA. See EV-023 artifact."
EV-024,TPRM-US-CLD-010,Logging + SIEM Export (Admin/Support Sessions),Config/Procedure,Vendor,2026-03-03,12 months,Accepted,"Log export supports investigations and oversight. See EV-024 artifact."
EV-025,TPRM-US-CLD-009,Background Checks + Security Training Summary,Policy/Attestation,Vendor,2026-03-03,12 months,Accepted,"Personnel assurance controls acceptable. See EV-025 artifact."
EV-026,TPRM-US-CLD-005,Subprocessor Governance + Change Notification,Document/Portal Export (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"Flow-down + time-bound notification must be explicit in contract. See EV-026 artifact."
EV-027,TPRM-US-CLD-011,Vulnerability Management + Pen Test Summary,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted,"Testing and remediation posture acceptable; validate cadence in contract. See EV-027 artifact."
EV-028,TPRM-US-CLD-013,BC/DR Test Evidence Summary,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted,"Resilience evidence present; critical services require annual validation. See EV-028 artifact."
EV-030,TPRM-US-CLD-001,Privacy Annex (Purpose/DSAR/Subprocessors/Breach SLA),Contract Draft,Customer,2026-03-03,Until signed,Pending,"Must be executed for US privacy posture. Condition C-06. See 06_Evidence/Artifacts/EV-030_Privacy_Annex_Purpose_DSAR_Subprocessors_Breach_SLA.md"
EV-031,TPRM-US-CLD-002,Minimization Field Allowlist + Ingestion Mapping,Design/Procedure,Customer+Vendor,2026-03-03,12 months,Accepted w/ Conditions,"Require enforcement validation + field allowlist evidence. Condition C-07. See EV-031 artifact."
EV-032,TPRM-US-CLD-003,Retention + Deletion Schedule + Confirmation,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"Require deletion SLA + confirmation and subprocessor propagation. Condition C-07. See EV-032 artifact."
EV-033,TPRM-US-CLD-004,DSAR Workflow + SLA + Deletion Propagation,Procedure,Vendor,2026-03-03,12 months,Pending,"Contract must bind DSAR SLAs + workflow proof. Condition C-06. See EV-033 artifact."
EV-034,TPRM-US-CLD-015,SOC 2 Type II Summary/Bridge Letter,Assurance Summary,Vendor,2026-03-03,12 months,Accepted,"Assurance posture acceptable for High tier (full report may be NDA). See EV-034 artifact."
EV-035,TPRM-US-CLD-012,Incident Response Plan Summary + Notification SLA,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"IR exists; time-bound notification must be explicit in contract. Condition C-06. See EV-035 artifact."
EV-036,TPRM-US-CLD-008,Security Policies Index + Access Controls Summary,Document (Sanitized),Vendor,2026-03-03,12 months,Accepted,"Core controls documented; validate annually for High tier. See EV-036 artifact."
EV-037,TPRM-US-CLD-005,Subprocessor Governance + Notice Window,Document/Portal Export (Sanitized),Vendor,2026-03-03,12 months,Accepted w/ Conditions,"Require time-bound change notification + flow-down. Condition C-06. See EV-037 artifact."
EV-038,TPRM-US-CLD-010,Logging + Retention + Exportability (Admin/Ingestion),Document (Sanitized),Vendor,2026-03-03,12 months,Accepted,"Logs support oversight and investigations; confirm export format on request. See EV-038 artifact."
